great_white_shark 大白鲨 噬人鲨属大型凶猛鲨鱼
bull_shark 牛鲨 唯一可以深入淡水的鲨鱼
tiger_shark 虎鲨 身体表面有条纹
shuangji_shark 双髻鲨 长相古怪的鲨鱼
black-fin-reef-shark 乌翅真鲨 鱼鳍末端黑色
whale_shark 鲸鲨 体型最大的鲨鱼
killing_whale 虎鲸 大白鲨的天敌
dolphin 海豚 人类的好朋友
flag_fish 旗鱼 海洋中速度之最
sperm_whale 抹香鲸 体型最大的齿鲸
blue_whale 蓝鲸 地球现存最大的动物
humback_whale 座头鲸 经常跃出水面，超长的前翅
giant-squid 大王乌贼 体长十几米的巨型乌贼
white-whale 白鲸 生活在北极寒冷的地区，外表可爱
unicorn-whale 独角鲸 2-3米螺旋状犬齿，外形像角
box-jellyfish 箱水母 世界上最毒的水母
ocean-snake 海蛇 几乎全是剧毒蛇
dianyao 电鳐 最高可释放200V电压
dianman 电鳗 平均300-800V高压电
juyao 锯鳐 自带大宝剑，鲨鱼近亲
sea-lion 海狮 海洋哺乳动物
seal 海豹 体型圆圆胖胖
walrus 海象 身体庞大，最显眼的是两只长牙
