bald-eagle 白头海雕 帅气的鹰
golden-eagle 金雕 敏捷的飞行能力
tiger-eagle 虎头海雕 巨大的鸟喙
white-tailed-eagle 白尾海雕 白色的尾部
philippine-eagle 菲律宾雕 捕捉猕猴等树栖动物
horn-eagle 角雕 与菲律宾雕一样的食猴雕
ferocious-eagle 猛雕 非洲最大的雕
hawk-eagle 鹰雕 明显的黑色羽冠
yousun 游隼 爆发速度最快的鸟
maosun 矛隼 体型较大的隼类
red-falco 红隼 背部砖红色的小型猛禽
hunt-falco 猎隼 中大型隼
calacala 凤头卡拉鹰 食腐动物，地上筑巢
cangying 苍鹰 中小型猛禽
queying 雀鹰 小型猛禽，30厘米左右
vulture 非洲秃鹫 食腐猛禽
owl 雕鸮 昼伏夜出的猛禽
andisi 安第斯神鹫 翼展超过3米，最大的飞禽
xintianweng 漂泊信天翁 翼展最长的鸟
frigate-bird 军舰鸟 红色的喉囊，鸟中海盗
thief-bird 贼鸥 从不筑巢，靠抢夺为生
swift 尖尾雨燕 速度最快的鸟
crane 鹤 美丽而优雅的大型涉禽
snake-eater 蛇鹫 毒蛇的天敌
